feat	codeword	expressed
NRIP3	00000111000001	1
RNMT	10000001100010	1
TMEM110	01010100000001	1
RAB22A	00101000001001	1
WDFY2	00001110000001	1
DENND4C	00010010110000	1
STK10	10000101000001	1
SV2A	00000110100001	1
SPRED2	01000100100001	1
ABCC10	11001000000100	1
RAI1	00000101001010	1
MLLT4	00001001110000	1
MICAL1	10010100000001	1
UBE4B	10000100001100	1
USP20	00011100010000	1
NACC2	00011000001010	1
DGKZP1	00100000101001	1
PEX1	00010100110000	1
CASC7	10010000100001	1
ARHGAP29	00110001010000	1
blank005	10000101000010	0
ZNFX1	01000010001001	1
VASH1	00110000001010	1
FAM179B	10010000011000	1
SOGA1	00010001001010	1
HMGXB3	00000100101010	1
ATR	01100000011000	1
PDCD11	10000011010000	1
TEX2	00010100001010	1
CIC	01010001000010	1
CAD	01001000100010	1
GDF11	10011000000010	1
CLN5	01000010001010	1
CBL	10001000100010	1
SMO	00011000100100	1
TPCN1	11000000100001	1
LRIF1	11000100000100	1
RPRD1B	00110100010000	1
C20orf194	00010010001100	1
ZBED6	01100100010000	1
PTPN23	10000001110000	1
CTDP1	10100000100100	1
HECTD3	00001100110000	1
NUDT16	10000100001001	1
C2orf44	01010000001010	1
INPP5F	00101010000100	1
SERAC1	01001010010000	1
AKAP8	00010001100100	1
LAMA1	00100010110000	1
MAML2	11000010000010	1
BDP1	00000110001100	1
ATXN1L	00010101000010	1
CHST3	10010000110000	1
DARS2	10100001010000	1
MAP3K1	01100000100010	1
XPO5	00100001100001	1
ABCC5	00101001000010	1
TARSL2	11100000000100	1
CLCN7	10000011000001	1
GID4	00000010101100	1
PRKAB2	00000010101010	1
RBM19	00010100100010	1
OSBPL2	00001000111000	1
C2orf49	10100010000100	1
HEATR6	00010010100001	1
LRCH2	01010000100001	1
ASH1L	00010011000001	1
TSPYL4	01100000001100	1
ADAMTS15	00000111000100	1
ZMYND8	01010000100100	1
ZSWIM6	00010000101001	1
ZHX3	00100100100010	1
ARFGEF2	01001010000010	1
ELF4	00100110000100	1
ZSCAN29	00001011010000	1
SENP1	00000101011000	1
TDRD7	01000100100100	1
TBC1D9	01000000101010	1
CRY2	00000001101010	1
SHC4	01000110000010	1
FAM168A	01011000000001	1
ABHD13	01101000000010	1
SLC30A1	01011000010000	1
DHX57	00010000101100	1
AP4E1	00100010001100	1
ZNF480	10110000000100	1
CEP170B	00011000100010	1
RNF169	10010000001010	1
USPL1	10000000101001	1
ANKRD50	00000100111000	1
APH1B	01000011000100	1
TMOD2	01000001100001	1
LYRM7	00000110011000	1
PHRF1	01100100000001	1
KAT6A	00000011100100	1
LIG3	00010001110000	1
KIAA1551	01010000001001	1
HPS4	00001011000100	1
LPIN1	01001000100001	1
C11orf95	00110000001001	1
WASH5P	10100000110000	1
BRD1	01001000001100	1
INTS2	01100001000001	1
MEGF9	10010000001100	1
C2CD3	00010010001001	1
FNIP1	01101000010000	1
FASN	00011001000001	1
RRP12	01100000110000	1
TCF20	00011000001001	1
BAHD1	11000000100100	1
CEP170P1	10000100011000	1
blank006	00010001100010	0
SLC12A2	00000001111000	1
KIF16B	10100010000010	1
USP37	00111000000010	1
FBXO30	01100000100100	1
USP6NL	00010010011000	1
VANGL1	10000110000010	1
KIAA2026	00100010100100	1
AHCTF1P1	10000001100001	1
KCNMA1	01000101000100	1
TGS1	01110000000010	1
NOM1	10110000000001	1
SLC12A7	00010010001010	1
UBR2	10010001000010	1
TANGO6	10001001000100	1
WDR60	10001010000001	1
FOXJ2	00000101110000	1
RMND5A	01100010010000	1
KDM1B	01000001100010	1
CSPG4	01011000000010	1
INPP4A	00011010000010	1
ATP9A	10000010011000	1
DZIP3	00100000111000	1
CAPN15	10001100000010	1
ITGA11	01000000101001	1
CYFIP2	10001010000010	1
SUSD5	01001000001001	1
ZNF654	11001000000001	1
ZBTB41	00001110000010	1
RWDD2A	00001001001001	1
NCOA3	01000010100010	1
MED23	00001000101100	1
CSTF2T	00001000101001	1
SIPA1L2	00100010001010	1
CYP2U1	00011010000100	1
HECTD2	10100100000001	1
SMAD9	00101010000010	1
HIP1	01010010000001	1
CDC25A	11010000000001	1
SERTAD2	00011100000010	1
NPAT	01010010000010	1
DPYD	00011000011000	1
KIAA0753	10010000100010	1
VPS13C	00010101000100	1
ZNF592	00111000000001	1
CLUH	11000010010000	1
WDR55	01001000011000	1
ZNF71	11000001000100	1
CRYBG3	11000000001001	1
FCHSD2	10010010000010	1
EFNB2	10100001000010	1
TMEM260	00110001000100	1
TTF2	10010100000100	1
NCKAP5L	10010010000100	1
notarget003	00101100000100	0
ZNF652	10000001011000	1
C10orf118	10001001000001	1
DGKQ	00000111010000	1
MKL2	10000001001100	1
CD109	00001001001010	1
DIO2	00010011000010	1
KIF15	00110100000100	1
GTF3C4	00000011001001	1
ZNF687	00101000100100	1
IQSEC1	00011001000100	1
TRIM14	00011010010000	1
PIK3R1	11000000011000	1
RHOBTB2	01100100000100	1
ZNF776	00100100110000	1
CTPS2	00101010010000	1
PRMT10	01100001010000	1
LTBP2	01001100000010	1
SLC9A6	10101000000010	1
TBC1D13	00010001001100	1
QTRTD1	00001011000001	1
TRIM35	01101000000001	1
SIN3A	01000100011000	1
ZBTB6	00000101100010	1
QSER1	00100010100001	1
FEM1C	01000000111000	1
PLEKHG3	00001100001100	1
FBXO45	00100100001001	1
GPR180	11010000000010	1
SPICE1	00010000101010	1
ANKRD32	00010011000100	1
SNIP1	10010001000001	1
NSD1	00110000011000	1
GIGYF1	00010001001001	1
DTX3L	01010000001100	1
CCSAP	00110100000001	1
ADCY7	10011000000001	1
blank007	00101000001010	0
MSH3	10100010010000	1
PHF2	01100000100001	1
VTI1A	00100001110000	1
AP1G2	11000000001100	1
ANPEP	00101000001100	1
TMEM104	00100001001010	1
DOCK5	10000101000100	1
MAP3K6	00010001011000	1
TTI1	00110000100010	1
ASAP3	00100011000100	1
TRRAP	01010001000001	1
CEP41	00001010100100	1
KIF18B	01000001011000	1
LMBRD2	00000011100001	1
ZDHHC21	00010110000010	1
CNTLN	01100010000010	1
ERCC6L	00111000000100	1
VPS13D	00010100100100	1
ITPR1	10000110010000	1
POLR3A	00000101100100	1
FAM214A	01100001000010	1
FRY	01010100000010	1
ZFAT	00011001010000	1
FAN1	00110010000100	1
SOWAHC	00101010000001	1
RBM12B	00001110010000	1
MCM9	11000000110000	1
KIF14	00001010110000	1
GPD1L	10010000001001	1
ZMYM3	00011000110000	1
SMCR8	01001100010000	1
GM2A	10100000100010	1
TTPAL	01010001000100	1
OFD1	11001000000010	1
LNPEP	01100010000001	1
TSTD2	00101100000001	1
NCOA1	01000101000001	1
C7orf41	00100010011000	1
DIP2A	00000101001001	1
ZNF248	10001100000100	1
PIGM	01000011000010	1
FAM46A	00101000110000	1
ZNF697	11000100000010	1
NCOA6	11000001000001	1
FAM212B	00100100100001	1
CEP135	00001101000100	1
WDR5B	00010100001001	1
ERMP1	10101000010000	1
ZSCAN30	10000010001100	1
SH2D5	10000001100100	1
ZNF275	10000011000100	1
DIP2B	00110000100001	1
CEP85	01000010110000	1
UNC13B	10001010010000	1
ALPK1	00100101010000	1
TRAPPC9	01000101010000	1
MTF1	00110001000001	1
GOLGA8A	01000100001010	1
WRN	00001001001100	1
ZBED1	00011100000100	1
AGTPBP1	00001011000010	1
ZZEF1	10100001000100	1
UBOX5	01000000101100	1
AKAP13	00001001100010	1
C4orf21	00000100101100	1
RP11-159D12.9	10010100000010	1
NOTCH1	10001000001010	1
FAM46C	10000010100010	1
AMPD3	00000011011000	1
SPAST	00001001100001	1
TBC1D12	00010100100001	1
FGD1	00011001000010	1
ZNF614	10100000001100	1
FAM83G	10100100010000	1
FAM126B	10000010100100	1
RAP2B	01010010000100	1
ZNF407	10001001010000	1
UTP20	00100001011000	1
RELN	10001010000100	1
ORC2	10001001000010	1
GEMIN4	11010000010000	1
ZFP28	00100001100010	1
IL17RA	00010110000100	1
PAXIP1	10001000100001	1
CNTRL	00001010001001	1
HIVEP2	10010010000001	1
NEDD9	00010010100010	1
PIK3R3	00001001100100	1
TMEM246	01000100110000	1
FAM171A1	10110000010000	1
blank008	10110000000010	0
SLC24A1	01000010011000	1
SLC7A6OS	11000010000001	1
ZBTB34	00000011001100	1
ULK4	00101100000010	1
ARHGAP20	11000000100010	1
CCDC93	01000011010000	1
LPCAT2	10000000111000	1
KIF7	00000111000010	1
RAD54L2	01100000001001	1
DHX37	00001010001010	1
ZBTB11	10100000001001	1
DNAH5	00000110100010	1
ARHGEF6	01000011000001	1
RCAN3	00001100011000	1
DOPEY1	00100010100010	1
FAM217B	10000110000001	1
BCL9	11010000000100	1
IQCE	10001000001001	1
ALMS1	01000110000100	1
NEK1	00001101010000	1
CNTN3	01000001100100	1
RFX7	00100100001010	1
NUAK1	10010100010000	1
NAPEPLD	10000101010000	1
POLR3B	10010000100100	1
B3GALTL	01000001001010	1
HAS2	10001100010000	1
RAP1GAP2	11000001000010	1
CIT	00100101000001	1
SOX11	00101100010000	1
MTHFR	01001001000010	1
DUSP16	00000011110000	1
SLC9A5	01000010001100	1
HEATR5B	00110010000010	1
VCPIP1	00001100001001	1
JARID2	01100000001010	1
MEX3A	00010000111000	1
GPR155	00010101000001	1
ZNF526	01000001001001	1
TAB3	10000100100001	1
FLRT3	10001000011000	1
ZNF436	01001000110000	1
WDR7	10010010010000	1
WDR81	11000010000100	1
SLC41A2	11000000001010	1
WDR37	01001001010000	1
NLRX1	00101000100001	1
BRIP1	01000110000001	1
PHKA2	00010100011000	1
POLR1A	00100011000010	1
ZNF445	00110010000001	1
UBE2O	00000100101001	1
PTGFR	00011000100001	1
GMEB2	00010001100001	1
CCNF	00111000010000	1
OTUD3	01000010100001	1
CACNA1C	01110000000001	1
BRPF1	00100001100100	1
ARID2	00101001000001	1
BLM	01001100000001	1
PDE10A	00001100001010	1
AGL	01101000000100	1
TRPS1	00001100100001	1
RASAL2	01000111000000	1
ENDOD1	01001110000000	1
GREM2	01100110000000	1
ANKRD26	01011000100000	1
NHLRC2	11001010000000	1
ZBTB5	00010011100000	1
GPRIN1	01001101000000	1
TCEANC2	00100110001000	1
notarget004	00001100101000	0
MAGI3	10100001001000	1
SHROOM2	00101100100000	1
FMNL3	01110000100000	1
TRIM62	10000101100000	1
TNFAIP3	01101010000000	1
HIP1R	01010010001000	1
DCLRE1A	11000010001000	1
DNA2	00001110001000	1
VWA8	01001001001000	1
PHF16	10100100001000	1
TARBP1	00101100001000	1
RNASEL	10110100000000	1
DHX34	01000110001000	1
GLTSCR1L	10011000100000	1
UBXN2B	00111100000000	1
PAPOLG	01101100000000	1
WDR35	10001011000000	1
WDR62	10010110000000	1
blank009	01110000001000	0
BRI3BP	00101110000000	1
IQGAP3	00110001001000	1
PIK3CD	00111000100000	1
ERMAP	01000011001000	1
PTPLAD2	00110011000000	1
CUL9	00111000001000	1
ANKS1A	01010000101000	1
TRERF1	00001010101000	1
URB2	10010100001000	1
TMED8	10000101001000	1
ARHGEF10L	11000001100000	1
GPRC5B	00000011101000	1
HSPA12A	00100010101000	1
UHRF1BP1	01100011000000	1
SYTL4	01001010001000	1
ESCO1	01001001100000	1
TULP4	01000101100000	1
MAPKBP1	10001110000000	1
GPAM	00011010100000	1
ATG14	00001101100000	1
DMXL2	01010001001000	1
HIVEP1	00101000101000	1
SNPH	10101000100000	1
SSH2	00101010001000	1
ZNF202	00101010100000	1
SALL2	01011010000000	1
OSBPL6	10011000001000	1
ERN1	01001000101000	1
ARL10	10010010001000	1
RP11-350F4.2	01011001000000	1
MAP3K14	10010000101000	1
FKBP5	00001001101000	1
HELZ2	01100100100000	1
PTPRU	11100010000000	1
RALGAPA1P	00010101001000	1
FITM2	10010010100000	1
PER3	00011110000000	1
ARL4C	00010011001000	1
DDX60L	01000010101000	1
ZNF41	00110000101000	1
KLHL15	01101000100000	1
PHLPP2	10001010100000	1
ZNF142	00100110100000	1
KLF11	01010110000000	1
MBLAC2	00010111000000	1
NIPAL2	11100100000000	1
LRP4	00101011000000	1
N6AMT1	10100110000000	1
SLC12A6	00100111000000	1
SLC4A8	01101001000000	1
PINK1-AS	00100001101000	1
VDR	11001000001000	1
THADA	11010000001000	1
URB1	00000111001000	1
KLHL29	00110100001000	1
RP11-566E18.3	00010001101000	1
POLQ	11110000000000	1
HMCN1	00110010100000	1
ZNF230	01100000101000	1
YOD1	11000001001000	1
DGKI	10011001000000	1
CACNA1A	00100101100000	1
ITGA7	10000011001000	1
ZNF175	01010100100000	1
LINC00641	10000010101000	1
ZNF646	01100101000000	1
FAM131B	00010110001000	1
MOK	11000011000000	1
ZNF354C	00011100001000	1
NCR3LG1	00010100101000	1
TBC1D22B	10001001001000	1
KIAA2018	01001010100000	1
SEMA4F	11100001000000	1
RALGAPA2	00111001000000	1
CDKN2B	10011010000000	1
C10orf54	01100001100000	1
TMPPE	10100010100000	1
CDKL5	11001001000000	1
AHNAK2	10101010000000	1
SLC2A12	01000101001000	1
ZKSCAN2	10000111000000	1
BAIAP2L1	10100001100000	1
C10orf12	01001011000000	1
ITGB8	00110001100000	1
DIEXF	11000110000000	1
NINL	11100000001000	1
WDR91	01010010100000	1
DOCK11	00010110100000	1
IGHMBP2	11000000101000	1
ATAD2B	00111010000000	1
blank010	10100010001000	0
VSIG10	01100001001000	1
FZD4	10000011100000	1
LOXL4	10001100001000	1
ZNF304	10100100100000	1
CDAN1	01001100100000	1
ARSD	10001100100000	1
LPPR4	01001100001000	1
SH3BGRL2	11000100001000	1
LRRK1	10110000100000	1
DDX26B	11011000000000	1
RP11-18F14.2	10101100000000	1
TONSL	11001100000000	1
ZBTB39	00001011100000	1
GJA3	01010100001000	1
SWT1	01010001100000	1
MDN1	10001001100000	1
ZNF280C	00001101001000	1
FAM26E	00011011000000	1
CDON	10100000101000	1
ATP10A	00101001100000	1
SLC30A4	01010101000000	1
ZSCAN20	11010001000000	1
ZNF813	10010001001000	1
SLC5A3	00000111100000	1
ZBTB24	10100101000000	1
FAM120C	00011000101000	1
ZFYVE26	10001101000000	1
LPIN3	11010000100000	1
RP11-496N12.9	11000010100000	1
CAND2	00100100101000	1
LSM11	10110000001000	1
C1orf112	01110010000000	1
CEP128	01000110100000	1
OXTR	01000100101000	1
SLC1A1	10000110100000	1
KIAA1147	10010001100000	1
LMTK2	01100010100000	1
ZNF549	11000100100000	1
CLTCL1	11010010000000	1
ANGEL1	00011100100000	1
CARD10	10000100101000	1
APOLD1	01011000001000	1
WDR66	11001000100000	1
STARD9	00011010001000	1
ZNF33B	11000101000000	1
INSR	11010100000000	1
RP11-958N24.2	00110110000000	1
MYPN	01000001101000	1
PRDM15	00110100100000	1
GPATCH1	00101001001000	1
GAN	00010101100000	1
QRICH2	10011100000000	1
BRCA2	11100000100000	1
EVC2	00011001100000	1
DISP1	10110010000000	1
ADAMTS3	00100011100000	1
PHLPP1	10100011000000	1
RUNX2	10000110001000	1
ERVK13-1	01110100000000	1
SAMD9L	00101101000000	1
ARSG	00001011001000	1
SEMA6D	00100101001000	1
ARHGEF3	11101000000000	1
UBN2	00001110100000	1
CERS6	00000101101000	1
JRK	10001010001000	1
DAAM2	00100011001000	1
ATP7B	10001000101000	1
ZNF783	00110101000000	1
ZNF470	01100100001000	1
AFAP1L1	10110001000000	1
DSP	10000001101000	1
CARD6	00011101000000	1
HSPA4L	10111000000000	1
SLC18A2	01010011000000	1
SP4	01101000001000	1
SCN3A	00110010001000	1
KRBA1	00010010101000	1
RP11-121C2.2	00001111000000	1
BIRC3	10010011000000	1
COL11A1	00000110101000	1
EPB41	01110001000000	1
ZSCAN22	01011100000000	1
KLHL25	10010100100000	1
PLCL2	10101001000000	1
PHKA1	01100010001000	1
TICRR	01000011100000	1
CBX2	10010101000000	1
SYT1	00011001001000	1
notarget005	01111000000000	0
